mens 85L backpacking pack,Hydration,The North Face,shilpad@hbright.com,94115,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
hydration pack,Hydration,Osprey,kellyk@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
canister stove,Backpacks & Bags,Terra Nova,hjackman@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
silicon cookware,Camp Electronics,REI,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
womens 65L backpacking pack,Knives & Tools,The North Face,annieclark@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
bear canister,Camp Lighting,GSI,pamb@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
hydration pack,Camp Furniture,GSI,rainnwilson@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
hydration pack,Camp Furniture,Therm-a-Rest,seanp@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
30L daypack,Tents & Shelter,Osprey,bjnovak@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
mens 35L hiking pack,Camp Furniture,Terra Nova,annieclark@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
sleeping pad,Tents & Shelter,Patagonia,vhudgens@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
hammock,Backpacks & Bags,Hydro Flask,shilpad@hbright.com,94115,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
lantern,Tents & Shelter,Hydro Flask,annieclark@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
canister stove,Backpacks & Bags,Terra Nova,seanp@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
hammock,Sleeping Bags,Mountain Hardwear,kellyk@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
self-inflating sleeping pad,Camp Furniture,Sierra Designs,vhudgens@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
compass,Backpacks & Bags,The North Face,hjackman@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
4-person tent,Hydration,Nemo,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
hammock,Camp Furniture,CamelBak,dwight@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
titanium cookware,Tents & Shelter,Evernew,shilpad@hbright.com,94115,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
bear canister,Tents & Shelter,Therm-a-Rest,dwight@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
air sleeping pad,Camp Kitchen,Big Agnes,seanp@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
backpacking mattress,Knives & Tools,The North Face,vhudgens@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
womens 25L daypack,Camp Lighting,Sea to Summit,mscott@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
flashlight,Camp Kitchen,Sea to Summit,reesew@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
backpacking mattress,Camp Furniture,CamelBak,reesew@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
flashlight,Knives & Tools,Therm-a-Rest,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
canister stove,Camp Lighting,CamelBak,mscott@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
womens 65L backpacking pack,Tents & Shelter,Marmot,slittle@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
30L daypack,Camp Electronics,Hydro Flask,mruffalo@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
canister stove,Tents & Shelter,Hydro Flask,seanp@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
silicon cookware,Camp Furniture,Sierra Designs,slittle@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
backpacking mattress,Camp Lighting,CamelBak,kellyk@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
mens 35L hiking pack,Camp Kitchen,Big Agnes,vhudgens@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
4-person tent,Camp Kitchen,The North Face,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
backpacking mattress,Camp Kitchen,Snow Peak,dwight@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
titanium cookware,Camp Kitchen,Patagonia,kellyk@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
bear canister,Camp Furniture,CamelBak,shilpad@hbright.com,94115,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
flashlight,Camp Electronics,Terra Nova,shilpad@hbright.com,94115,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
sleeping pad,Camp Kitchen,REI,bjnovak@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
mens 35L hiking pack,Backpacks & Bags,Sea to Summit,bjnovak@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
titanium cookware,Tents & Shelter,Black Diamond,mscott@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
mens 85L backpacking pack,Sleeping Bags,Therm-a-Rest,mscott@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
2-person tent,Camp Furniture,Sea to Summit,hjackman@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
canister stove,Camp Furniture,Black Diamond,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
flashlight,Hydration,Evernew,reesew@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
30L daypack,Backpacks & Bags,Black Diamond,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
lantern,Camp Electronics,Osprey,shilpad@hbright.com,94115,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
bear canister,Knives & Tools,Evernew,rainnwilson@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
sleeping pad,Camp Furniture,Evernew,seanp@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
self-inflating sleeping pad,Sleeping Bags,GSI,rainnwilson@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
self-inflating sleeping pad,Sleeping Bags,Therm-a-Rest,annieclark@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
titanium cookware,Camp Electronics,Therm-a-Rest,hjackman@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
30L daypack,Backpacks & Bags,The North Face,reesew@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
hydration pack,Tents & Shelter,Terra Nova,mruffalo@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
air sleeping pad,Backpacks & Bags,Nemo,reesew@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
backpacking mattress,Camp Furniture,Therm-a-Rest,dwight@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
compass,Tents & Shelter,The North Face,pamb@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
womens 65L backpacking pack,Hydration,Evernew,kellyk@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
mens 35L hiking pack,Tents & Shelter,GSI,reesew@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
air sleeping pad,Camp Lighting,Terra Nova,hjackman@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
womens 25L daypack,Sleeping Bags,Therm-a-Rest,dwight@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
air sleeping pad,Sleeping Bags,CamelBak,annieclark@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
30L daypack,Knives & Tools,GSI,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
lantern,Camp Lighting,REI,seanp@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
mens 35L hiking pack,Camp Electronics,Marmot,pamb@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
2-person tent,Camp Kitchen,Mountain Hardwear,kellyk@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
headlamp,Camp Electronics,Hydro Flask,rainnwilson@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
flashlight,Camp Lighting,Sierra Designs,mpalmer@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
backpacking mattress,Hydration,REI,slittle@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
compact pocket knife,Camp Kitchen,Terra Nova,seanp@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
2-person tent,Camp Furniture,Osprey,kellyk@hbright.com,94109,static/images/gear/gear_photo.jpg,http://localhost:5000/static/images/gear/gear_photo.jpg
